QUARTO;GARAGENS;BANHEIROS;AREA;BAIRRO;PRECO
2;1;1;60 a 80m2;Armação;450K a 650K
1;1;1;13 a 60m2;Caminho das Árvores;0 a 300K
2;2;3;60 a 80m2;Caminho das Árvores;450K a 650K
1;1;1;13 a 60m2;Piatã;300K a 450K
1;nan;1;13 a 60m2;Acupe de Brotas;0 a 300K
2;1;2;80 a 110m2;Pernambués;300K a 450K
3;2;1;80 a 110m2;Pituba;450K a 650K
2;2;1;13 a 60m2;Mata Escura;0 a 300K
2;1;1;13 a 60m2;Engenho Velho de Brotas;0 a 300K
1;1;1;13 a 60m2;Stella Maris;300K a 450K
4;2;2;80 a 110m2;Garcia;450K a 650K
